Warehouse_id,Warehouse_address_street,Warehouse_address_city,Warehouse_address_country,Warehouse_address_postcode,warehouse_contact
W636293326,935 Granby Point,Tournai,Belgium,7536,194-568-3402
W434060006,70771 Melby Parkway,P̩ruwelz,Belgium,7604,416-746-7889
W679380827,042 Victoria Lane,Abbeville,France,80104 CEDEX,990-952-9105
W13537308,99519 7th Pass,Avignon,France,84042 CEDEX 9,242-664-3993
W03786231,4 Dovetail Court,Auxerre,France,89010 CEDEX,858-690-5489
W36800532,07 Golf View Terrace,Lons-le-Saunier,France,39039 CEDEX 9,209-788-3216
W49483272,02984 Fremont Parkway,Le Blanc-Mesnil,France,93154 CEDEX,777-532-1476
W575200434,18395 Harbort Way,Lyon,France,69206 CEDEX 01,348-740-0523
W37000709,627 Vera Circle,Arras,France,62025 CEDEX,913-625-6243
W21130533,303 Little Fleur Junction,Paris 15,France,75729 CEDEX 15,994-330-0130
W65643334,7 Duke Trail,Castlemartyr,Ireland,H71,837-234-0022
W37000840,9 Hermina Plaza,Naas,Ireland,W91,214-534-3361
W02680815,178 Rowland Trail,Ballyjamesduff,Ireland,A84,572-834-7632
W489513139,2 Vahlen Court,Ashford,Ireland,H12,349-915-9554
W438570145,212 Florence Street,Castlemartyr,Ireland,H71,871-855-0492
W41190210,7337 Memorial Junction,Eadestown,Ireland,A86,788-888-3353
W551544728,037 Amoth Point,Oughterard,Ireland,P72,668-599-4439
W06151311,70 Melvin Crossing,Adare,Ireland,H54,320-154-2552
W489512048,01 Banding Plaza,Dalheim,Luxembourg,L-5687,837-332-2099
W52959965,2064 Gateway Way,Crauthem,Luxembourg,L-3330,988-374-9802
W58194013,05473 Stone Corner Court,Dalheim,Luxembourg,L-5687,505-614-2995
W51224154,8 Continental Court,Larochette,Luxembourg,L-7634,604-341-4750
W01155922,55 Hintze Avenue,Lenningen,Luxembourg,L-5431,198-946-1460
W524103025,02944 Golf Course Street,Beaufort,Luxembourg,L-6380,951-249-5522
W66129028,416 Nelson Center,Crauthem,Luxembourg,L-3330,653-542-0997
W65162770,92761 Erie Trail,Moneghetti,Monaco,98000,272-120-9311
W489517039,6577 Darwin Alley,Monte-Carlo,Monaco,98000,373-932-9015
W437420069,12582 Toban Place,Fontvieille,Monaco,98000,119-860-3069
W76398001,4 Transport Center,Veghel,Netherlands,5464,710-894-8513
W369872259,6 Barnett Circle,Almere Haven,Netherlands,1354,838-319-8419
W545693807,9 Dorton Street,Nijmegen,Netherlands,6529,158-251-6798
W51346236,4443 Bellgrove Crossing,Venlo,Netherlands,5914,435-440-2167
W10812350,423 Golf Drive,Emmen,Netherlands,7824,927-372-2201
W49967790,8 Badeau Court,Arnhem,Netherlands,6824,276-238-9137
W10812524,22165 Autumn Leaf Hill,Almelo,Netherlands,7609,219-417-8410
W21695911,61 Loeprich Crossing,Maastricht,Netherlands,6214,431-188-7735
W64764251,91 Main Parkway,Belfast,United Kingdom,BT2,887-944-5192
W437420090,08517 Killdeer Trail,East End,United Kingdom,BH21,659-943-3562
W49997356,3 Valley Edge Terrace,West End,United Kingdom,DN36,186-418-1553
W548685918,2 Sloan Drive,Stapleford,United Kingdom,LN6,852-180-9093
W118220500,9645 Dakota Lane,London,United Kingdom,W1F,673-742-4032
W551544739,092 Gerald Center,Newtown,United Kingdom,RG20,208-572-8250
W58980624,79 Manitowish Circle,Church End,United Kingdom,CB4,775-332-2439
W76125784,5 Holmberg Point,Newtown,United Kingdom,RG20,759-618-3647
W551547553,22 Grover Parkway,Pentre,United Kingdom,SY4,225-120-2257
W68462162,7 Schiller Alley,Brampton,United Kingdom,NR34,862-906-6231
W39765004,24765 Bartillon Trail,Bristol,United Kingdom,BS41,202-798-3637
W43419857,189 Warrior Pass,Aston,United Kingdom,TF6,446-942-6126
W42254220,422 Monument Way,Burnside,United Kingdom,EH52,533-621-2052
W00935712,2670 Melody Crossing,Norton,United Kingdom,S8,273-954-3053